Company,Year_term,Lighting_Fixed rate lighting,Lighting_Meter rate lighting A/B,Lighting_Meter rate lighting C,Lighting_Temporary lighting,Lighting_Agricultural lighting,Lighting_Public street lighting,Lighting_Total Lighting - optional contracs,Lighting_Total Lighting - optional contracs2,Lighting_Total Lighting,Power_Commercial use power - optional contracts,Power_Commercial use power,Power_Small use power_Low voltage power - optipnal contracts,Power_Small use power_Low voltage power,Power_Small use power_High voltage power A - optinal contracts,Power_Small use power_High voltage power A,Power_Small use power_Total Small use power - optional contracts,Power_Small use power_Total Small use power,Power_High voltage power B - optional contracts,Power_High voltage power B,Power_Other power services_Temporary power,Power_Other power services_Agricultural power,Power_Other power services_Construction power,Power_Other power services_Business use power,Power_Other power services_High voltage power B - optional contracts,Power_Other power services_High voltage power B,Power_Other power services_Commercial use power,Power_Other power services_High voltage power A/B,Power_Other power services_Other power services - optional contracts,Power_Other power services_Total Other power services,Power_Total Power - optional contracts,Power_Total Power,Total of Lighting and Power
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Shikoku,200909,39433,1825227,42053,6105,,324012,217582,217582,2454412,,,3063,217164,,,,,,,684,23172,43,1781,,,,,145163,170843,148226,388007,2842419
Kyushu,200909,151585,5587993,218224,17545,1354,818233,719211,719211,7514145,,,11284,691988,,,,,,,1328,56336,65,2456,,,,,194853,255038,206137,947026,8461171
Okinawa,200909,4179,655877,,2158,,74605,26636,26636,763455,910,4032,,51361,,,,,,,61,84,4,329,,,4032,1479,7185,13174,8192,64535,827990
Hokkaido,200908,76089,2539408,88717,13229,,656538,192667,192667,3566648,,,991,166863,,,,,,,1946,3901,17,1543,,,,,44259,51666,45250,218529,3785177
Tohoku,200908,150103,4784859,234666,21116,,1271741,277216,277216,6739701,,,2871,699824,,,,,,,604,41916,31,4956,,,,,153461,200968,156332,900792,7640493
Tokyo,200908,451392,20045876,1247510,55673,,3731844,813371,813371,26345666,,,123,1757939,,,,,,,4925,75283,331,63134,,,,,384171,527844,384294,2285783,28631449
Chubu,200908,203353,6507008,513623,23772,382,1474594,488846,488846,9211578,,,5956,782447,,,,,,,1214,13063,2,4321,,,,,426340,444940,432296,1227387,10438965
Hokuriku,200908,39870,1080253,96306,5756,0,413523,191011,191011,1826719,,,3201,187756,,,,,,,313,3942,0,683,,,,,58087,63025,61288,250781,2077500
Kansai,200908,195645,9186704,327073,24330,,1789594,838369,838369,12361715,,,106,871741,,,,,,,2154,19622,9,25701,,,,,215774,263260,215880,1135001,13496716
Chugoku,200908,102243,3306008,59874,8349,40,649489,548777,548777,4674780,,,47,336183,,,,,,,410,13168,71,1514,,,,,183087,198250,183134,534433,5209213
Shikoku,200908,39445,1827184,42093,6053,,323736,215023,215023,2453534,,,3053,217437,,,,,,,704,28139,34,1784,,,,,145685,176346,148738,393783,2847317
Kyushu,200908,151573,5593263,218262,16813,1612,816849,713136,713136,7511508,,,11199,692793,,,,,,,1330,58856,63,2460,,,,,195632,258341,206831,951134,8462642
Okinawa,200908,4188,655687,,2090,,74593,26308,26308,762866,906,4033,,51359,,,,,,,56,83,4,328,,,4033,1477,7213,13194,8216,64553,827419
Hokkaido,200907,76106,2538647,88688,11322,,656245,191008,191008,3562016,,,991,166934,,,,,,,399,3955,19,1571,,,,,55251,61195,56242,228129,3790145
Tohoku,200907,150171,4788559,234474,19710,,1270635,272486,272486,6736035,,,2865,700344,,,,,,,561,42134,29,4935,,,,,153775,201434,156640,901778,7637813
Tokyo,200907,451656,20054308,1247194,58345,,3729836,798982,798982,26340321,,,119,1759390,,,,,,,4924,77498,334,63105,,,,,385304,531165,385423,2290555,28630876
Chubu,200907,203408,6513321,513525,22975,364,1472792,481975,481975,9208360,,,5941,783710,,,,,,,1119,14421,2,4322,,,,,427974,447838,433915,1231548,10439908
Hokuriku,200907,39877,1082145,96348,5387,0,413232,188600,188600,1825589,,,3178,187959,,,,,,,254,3871,0,682,,,,,58301,63108,61479,251067,2076656
Kansai,200907,195683,9189336,326509,22701,,1788208,829146,829146,12351583,,,106,872187,,,,,,,1997,19528,8,25696,,,,,216618,263847,216724,1136034,13487617
Chugoku,200907,102304,3310278,59927,8059,34,648982,543232,543232,4672816,,,47,336402,,,,,,,387,12998,71,1515,,,,,183868,198839,183915,535241,5208057
Shikoku,200907,39479,1829252,42084,5796,,323607,212054,212054,2452272,,,3030,217525,,,,,,,686,28606,39,1788,,,,,146189,177308,149219,394833,2847105
Kyushu,200907,151564,5596880,218144,15900,903,815085,705817,705817,7504293,,,11003,692965,,,,,,,1198,59309,62,2456,,,,,196341,259366,207344,952331,8456624
Okinawa,200907,4192,654858,,2043,,74586,25962,25962,761641,897,4028,,51336,,,,,,,63,80,4,328,,,4028,1476,7271,13250,8265,64586,826227
Hokkaido,200906,76199,2538761,88717,8721,,656257,189467,189467,3558122,,,994,167061,,,,,,,510,4007,19,1571,,,,,67754,73861,68748,240922,3799044
Tohoku,200906,150220,4792594,234390,17442,,1270006,268638,268638,6733290,,,2861,700995,,,,,,,543,42243,29,4916,,,,,154137,201868,156998,902863,7636153
Tokyo,200906,452074,20058547,1247406,51577,,3726829,786257,786257,26322690,,,118,1760883,,,,,,,4742,76368,352,63083,,,,,386696,531241,386814,2292124,28614814
Chubu,200906,203494,6520556,513567,22539,385,1471453,475990,475990,9207984,,,5925,785035,,,,,,,1125,14586,2,4328,,,,,429549,449590,435474,1234625,10442609
Hokuriku,200906,39880,1083989,96385,4845,0,412807,186498,186498,1824404,,,3159,188211,,,,,,,258,3906,0,686,,,,,58518,63368,61677,251579,2075983
Kansai,200906,195744,9195131,326125,21741,,1787388,820506,820506,12346635,,,104,872890,,,,,,,2015,19024,9,25684,,,,,217426,264158,217530,1137048,13483683
Chugoku,200906,102550,3314220,59959,7950,36,648608,538194,538194,4671517,,,46,336624,,,,,,,377,12297,70,1515,,,,,184623,198882,184669,535506,5207023
Shikoku,200906,39544,1831420,42133,5713,,323438,209253,209253,2451501,,,3024,217681,,,,,,,666,27879,38,1784,,,,,146738,177105,149762,394786,2846287
Kyushu,200906,151568,5601563,218214,15378,193,813617,698844,698844,7499377,,,10902,693096,,,,,,,1142,50794,63,2454,,,,,197174,251627,208076,944723,8444100
Okinawa,200906,4193,654809,,1977,,74614,25649,25649,761242,884,4023,,51216,,,,,,,70,79,4,282,,,4023,1471,7304,13233,8285,64449,825691
Hokkaido,200905,76272,2541284,88833,6927,,655602,189142,189142,3558060,,,999,167351,,,,,,,739,3580,21,1624,,,,,100258,106222,101257,273573,3831633
Tohoku,200905,150176,4798412,234431,15139,,1269347,265248,265248,6732753,,,2855,702015,,,,,,,679,41999,29,4896,,,,,154680,202283,157535,904298,7637051
Tokyo,200905,452512,20063409,1247681,48556,,3725176,773802,773802,26311136,,,119,1763460,,,,,,,4725,68556,369,63080,,,,,388075,524805,388194,2288265,28599401
Chubu,200905,203606,6530353,513900,21531,480,1470825,470472,470472,9211167,,,5925,786552,,,,,,,1173,15269,2,4326,,,,,431312,452082,437237,1238634,10449801
Hokuriku,200905,39899,1086484,96581,4444,0,412526,184132,184132,1824066,,,3134,188576,,,,,,,246,4608,0,697,,,,,58866,64417,62000,252993,2077059
Kansai,200905,195869,9211329,325942,21395,,1786607,812551,812551,12353693,,,104,874104,,,,,,,2058,15843,9,25675,,,,,218617,262202,218721,1136306,13489999
Chugoku,200905,102659,3318651,60032,7751,41,648314,533033,533033,4670481,,,45,337004,,,,,,,380,8878,70,1515,,,,,185417,196260,185462,533264,5203745
Shikoku,200905,39598,1833696,42154,5630,,323194,206526,206526,2450798,,,3010,217895,,,,,,,660,23899,41,1791,,,,,147321,173712,150331,391607,2842405
Kyushu,200905,151449,5605318,218280,14921,91,812206,691610,691610,7493875,,,10865,693472,,,,,,,1129,33688,70,2451,,,,,197986,235324,208851,928796,8422671
Okinawa,200905,4201,654159,,1938,,74536,25388,25388,760222,877,4017,,51010,,,,,,,72,79,4,279,,,4017,1474,7335,13260,8309,64270,824492
Hokkaido,200904,76484,2554520,89078,4876,,655186,192556,192556,3572700,,,1001,167777,,,,,,,552,376,20,1596,,,,,138772,141316,139773,309093,3881793
Tohoku,200904,150282,4801867,234364,14362,,1268915,261943,261943,6731733,,,2872,703237,,,,,,,1120,20335,30,4967,,,,,155612,182064,158484,885301,7617034
Tokyo,200904,452804,20063954,1248141,48543,,3723763,762533,762533,26299738,,,118,1766684,,,,,,,4847,34615,384,63016,,,,,389524,492386,389642,2259070,28558808
Chubu,200904,203522,6544719,513847,21332,594,1470112,464858,464858,9218984,,,5906,788055,,,,,,,1146,11083,2,4333,,,,,433215,449779,439121,1237834,10456818
Hokuriku,200904,39973,1089038,96623,4080,0,412285,182472,182472,1824471,,,3113,188996,,,,,,,782,5034,0,692,,,,,59265,65773,62378,254769,2079240
Kansai,200904,196052,9192877,325328,21493,0,1785367,802361,802361,12323478,0,0,103,874839,,,,,,,2074,9903,9,25667,,,0,0,218186,255839,218289,1130678,13454156
Chugoku,200904,102663,3320994,60045,7751,47,647299,528747,528747,4667546,,,44,337569,,,,,,,366,4355,70,1514,,,,,185972,192277,186016,529846,5197392
Shikoku,200904,39622,1835473,42205,5608,,323001,204160,204160,2450069,,,2848,218202,,,,,,,645,15698,42,1791,,,,,147908,166084,150756,384286,2834355
Kyushu,200904,151418,5594740,218292,14501,36,811279,684595,684595,7474861,,,10824,694026,,,,,,,1152,27871,68,2459,,,,,198556,230106,209380,924132,8398993
Okinawa,200904,4202,655365,,2150,,74320,25154,25154,761191,873,4016,,50958,,,,,,,71,76,4,275,,,4016,1478,7370,13290,8340,64248,825439
Hokkaido,200903,76415,2558286,89037,8455,,656234,186871,186871,3575298,,,1003,167815,,,,,,,303,322,20,1634,,,,,192712,194991,193715,362806,3938104
Tohoku,200903,150263,4823999,234415,22304,,1266826,257758,257758,6755565,,,2868,704405,,,,,,,1586,5738,30,4937,,,,,202902,215193,205770,919598,7675163
Tokyo,200903,453830,20024638,1248304,59875,,3717347,748937,748937,26252931,,,87,1770355,,,,,,,5966,10482,423,62908,,,,,387471,467250,387558,2237605,28490536
Chubu,200903,203417,6550338,514143,26868,687,1468199,457678,457678,9221330,,,5874,789928,,,,,,,1529,6180,2,4367,,,,,435229,447307,441103,1237235,10458565
Hokuriku,200903,39960,1089303,96745,4761,0,411715,180003,180003,1822487,,,3097,189428,,,,,,,330,2798,0,702,,,,,65379,69209,68476,258637,2081124
Kansai,200903,196484,9153904,324793,23423,,1783618,785235,785235,12267457,,,101,876248,,,,,,,2485,7703,9,25602,,,,,216434,252233,216535,1128481,13395938
Chugoku,200903,102421,3322245,60103,9306,57,646958,523298,523298,4664388,,,38,338419,,,,,,,475,2724,73,1506,,,,,186460,191238,186498,529657,5194045
Shikoku,200903,39418,1836412,42250,6559,,322759,201241,201241,2448639,,,2846,218622,,,,,,,717,12353,49,1781,,,,,148407,163307,151253,381929,2830568
Kyushu,200903,151436,5599138,218370,19542,22,808437,676600,676600,7473545,,,10784,695081,,,,,,,1573,25685,70,2467,,,,,198527,228322,209311,923403,8396948
Okinawa,200903,4204,652897,,2418,,74123,24915,24915,758557,873,4005,,50997,,,,,,,83,75,4,260,,,4005,1476,7365,13268,8335,64265,822822
Hokkaido,200902,76475,2536168,89011,9814,,656691,184093,184093,3552252,,,1015,167935,,,,,,,336,94,20,1635,,,,,190825,192910,191840,360845,3913097
Tohoku,200902,150070,4834371,234300,20903,,1267002,254143,254143,6760789,,,2868,705401,,,,,,,1197,3430,30,4931,,,,,218398,227986,221266,933387,7694176
Tokyo,200902,454227,20033850,1248286,65990,,3716393,738046,738046,26256792,,,76,1773046,,,,,,,6663,9153,448,62783,,,,,389021,468068,389097,2241114,28497906
Chubu,200902,203273,6558296,514165,31219,735,1466830,451862,451862,9226380,,,5810,791396,,,,,,,1916,5021,2,4364,,,,,437575,448878,443385,1240274,10466654
Hokuriku,200902,40010,1092374,96782,5771,0,411425,178416,178416,1824778,,,3108,189822,,,,,,,378,1498,0,705,,,,,71048,73629,74156,263451,2088229
Kansai,200902,196710,9207185,324638,25679,,1782533,782863,782863,12319608,,,91,878073,,,,,,,2930,7522,8,25582,,,,,219662,255704,219753,1133777,13453385
Chugoku,200902,102199,3328713,60129,10835,61,646523,518868,518868,4667328,,,33,339092,,,,,,,562,2338,75,1509,,,,,187597,192081,187630,531173,5198501
Shikoku,200902,39443,1839450,42257,7380,,322628,198646,198646,2449804,,,2834,219251,,,,,,,776,11827,47,1775,,,,,149152,163577,151986,382828,2832632
Kyushu,200902,150511,5616858,218341,23752,23,806930,669932,669932,7486347,,,10737,696484,,,,,,,2318,24282,72,2466,,,,,199709,228847,210446,925331,8411678
Okinawa,200902,4178,651306,,2466,,73986,24642,24642,756578,873,3999,,50974,,,,,,,76,74,4,257,,,3999,1474,7393,13277,8362,64251,820829
Hokkaido,200901,76551,2536085,89077,11930,,657055,183337,183337,3554035,,,1036,168336,,,,,,,369,59,21,1647,,,,,190261,192357,191297,360693,3914728
Tohoku,200901,149935,4828904,234300,20824,,1265320,251086,251086,6750369,,,2874,706709,,,,,,,958,2806,30,4932,,,,,218783,227509,221657,934218,7684587
Tokyo,200901,454732,20032816,1248746,66960,,3715649,727803,727803,26246706,,,56,1776966,,,,,,,6776,9039,451,62729,,,,,390616,469611,390672,2246577,28493283
Chubu,200901,203323,6567262,514091,32635,743,1465986,446718,446718,9230758,,,5778,793366,,,,,,,1918,3764,1,4364,,,,,439710,449757,445488,1243123,10473881
Hokuriku,200901,40029,1094047,96803,6061,0,411098,176618,176618,1824656,,,3120,190304,,,,,,,398,933,0,706,,,,,71655,73692,74775,263996,2088652
Kansai,200901,196736,9221039,324310,26779,,1781412,776587,776587,12326863,,,84,879831,,,,,,,2694,7554,8,25593,,,,,221189,257038,221273,1136869,13463732
Chugoku,200901,102179,3333891,60202,11021,59,646292,514638,514638,4668282,,,25,339887,,,,,,,574,2039,76,1512,,,,,188442,192643,188467,532530,5200812
Shikoku,200901,39493,1842025,42288,7455,,322714,196172,196172,2450147,,,2816,219738,,,,,,,785,11824,47,1778,,,,,149764,164198,152580,383936,2834083
Kyushu,200901,151279,5624189,218372,23698,19,805969,663887,663887,7487413,,,10687,698050,,,,,,,2712,25091,68,2466,,,,,200567,230904,211254,928954,8416367
Okinawa,200901,4170,651168,,2468,,73946,24390,24390,756142,871,3996,,51296,,,,,,,84,74,3,257,,,3996,1471,7412,13297,8379,64593,820735
Hokkaido,200812,76646,2540994,89149,14043,,657060,181622,181622,3559514,,,1053,168686,,,,,,,524,369,21,1623,,,,,137265,139802,138318,308488,3868002
Tohoku,200812,149841,4820933,234195,26082,,1263717,246786,246786,6741554,,,2849,707799,,,,,,,958,2669,30,4921,,,,,208161,216739,211010,924538,7666092
Tokyo,200812,455002,20039166,1248611,69950,,3712137,713672,713672,26238538,,,13,1780377,,,,,,,6749,9091,431,62670,,,,,391808,470749,391821,2251126,28489664
Chubu,200812,203508,6574044,514024,33817,741,1464436,439554,439554,9230124,,,5723,795309,,,,,,,1888,3215,1,4344,,,,,440238,449686,445961,1244995,10475119
Hokuriku,200812,40034,1096151,96804,6606,0,410672,174286,174286,1824553,,,3112,190733,,,,,,,425,938,0,693,,,,,69067,71123,72179,261856,2086409
Kansai,200812,196563,9224188,324048,28830,,1779973,766372,766372,12319974,,,44,881481,,,,,,,2899,7705,8,25605,,,,,222045,258262,222089,1139743,13459717
Chugoku,200812,102023,3339998,60250,11184,61,645701,509040,509040,4668257,,,4,340634,,,,,,,567,2155,75,1499,,,,,189180,193476,189184,534110,5202367
Shikoku,200812,39467,1845105,42317,7602,,322459,193185,193185,2450135,,,2781,220098,,,,,,,804,11989,43,1769,,,,,150274,164879,153055,384977,2835112
Kyushu,200812,151101,5633218,218317,24126,50,804651,655567,655567,7487030,,,10616,699355,,,,,,,2336,32234,70,2476,,,,,201394,238510,212010,937865,8424895
Okinawa,200812,4181,651156,,2426,,73863,24101,24101,755727,869,3998,,51663,,,,,,,85,74,3,256,,,3998,1472,7439,13327,8404,64990,820717
Hokkaido,200811,76722,2544638,89190,16227,,657308,179082,179082,3563167,,,1076,169076,,,,,,,2443,556,22,1587,,,,,105996,110604,107072,279680,3842847
Tohoku,200811,149421,4818732,234105,26463,,1261807,240384,240384,6730912,,,2837,709168,,,,,,,1199,3402,29,4868,,,,,165351,174849,168188,884017,7614929
Tokyo,200811,455768,20043001,1248798,70579,,3709911,696607,696607,26224664,,,,1783505,,,,,,,6484,9300,457,62587,,,,,393012,471840,393012,2255345,28480009
Chubu,200811,203501,6574510,513883,33649,629,1463027,431671,431671,9220870,,,5629,796731,,,,,,,1699,3496,1,4344,,,,,441479,451019,447108,1247750,10468620
Hokuriku,200811,39982,1099400,96863,7239,0,410334,170717,170717,1824535,,,3108,191084,,,,,,,490,1709,0,689,,,,,64284,67169,67392,258253,2082788
Kansai,200811,196416,9237869,323647,29022,,1778819,755883,755883,12321656,,,,882747,,,,,,,2781,8041,8,25582,,,,,223024,259436,223024,1142183,13463839
Chugoku,200811,101888,3346278,60290,11610,50,645124,502134,502134,4667374,,,,341116,,,,,,,557,4127,76,1496,,,,,189925,196181,189925,537297,5204671
Shikoku,200811,39506,1848028,42370,7862,,321982,189521,189521,2449269,,,2748,220484,,,,,,,781,12520,41,1767,,,,,150820,165929,153568,386413,2835682
Kyushu,200811,151199,5641591,218285,23575,477,803091,646829,646829,7485047,,,10475,700259,,,,,,,1785,31931,62,2478,,,,,202175,238431,212650,938690,8423737
Okinawa,200811,4180,650751,,2269,,73807,23824,23824,754831,868,4007,,51876,,,,,,,77,75,4,255,,,4007,1471,7456,13345,8421,65221,820052
Hokkaido,200810,76901,2552436,89290,15842,,657315,176875,176875,3568659,,,1095,169333,,,,,,,4149,1286,20,1557,,,,,62864,69876,63959,239209,3807868
Tohoku,200810,148826,4824460,233990,26219,,1260196,235023,235023,6728714,,,2825,710568,,,,,,,1537,5836,29,4877,,,,,157816,170095,160641,880663,7609377
Tokyo,200810,456619,20047968,1249135,67911,,3708763,683442,683442,26213838,,,,1787373,,,,,,,6273,11084,482,62540,,,,,394078,474457,394078,2261830,28475668
Chubu,200810,203390,6579608,513805,31392,435,1461748,424319,424319,9214697,,,5492,798278,,,,,,,1492,4258,1,4344,,,,,443104,453199,448596,1251477,10466174
Hokuriku,200810,40037,1102013,97018,7277,0,410029,167614,167614,1823988,,,3077,191516,,,,,,,528,6862,0,686,,,,,61058,69134,64135,260650,2084638
Kansai,200810,196399,9233388,323136,27817,,1776854,745547,745547,12303141,,,,883561,,,,,,,3153,9564,8,25582,,,,,223652,261959,223652,1145520,13448661
Chugoku,200810,101823,3352192,60397,11002,50,644560,495826,495826,4665850,,,,341882,,,,,,,547,14724,72,1499,,,,,190721,207563,190721,549445,5215295
Shikoku,200810,39516,1850835,42404,7570,,321492,186594,186594,2448411,,,2716,220849,,,,,,,760,14711,41,1768,,,,,151343,168623,154059,389472,2837883
Kyushu,200810,151338,5647912,218291,21596,1009,801292,638518,638518,7479956,,,10350,701477,,,,,,,1554,51999,58,2473,,,,,202793,258877,213143,960354,8440310
Okinawa,200810,4180,650975,,2085,,73770,23484,23484,754494,866,3997,,52045,,,,,,,72,75,4,255,,,3997,1473,7467,13343,8430,65388,819882
Hokkaido,200809,77046,2551492,89244,15219,,657467,173861,173861,3564329,,,1117,169498,,,,,,,1444,3748,17,1547,,,,,43189,49945,44306,219443,3783772
Tohoku,200809,148625,4828559,233899,25713,,1259106,229132,229132,6725034,,,2811,711606,,,,,,,1310,23739,29,4895,,,,,158114,188087,160925,899693,7624727
Tokyo,200809,457528,20046046,1249069,66801,,3707022,668884,668884,26195350,,,,1791014,,,,,,,6214,35582,485,62510,,,,,395172,499963,395172,2290977,28486327
Chubu,200809,203346,6581456,513709,30084,437,1460157,417355,417355,9206544,,,5393,799856,,,,,,,1394,7999,1,4347,,,,,444561,458302,449954,1258158,10464702
Hokuriku,200809,40057,1103803,97135,6950,0,409706,164507,164507,1822158,,,3048,191928,,,,,,,565,6136,0,680,,,,,61263,68644,64311,260572,2082730
Kansai,200809,196390,9239240,322619,28504,,1775533,735513,735513,12297799,,,,885150,,,,,,,3070,16976,8,25555,,,,,224287,269896,224287,1155046,13452845
Chugoku,200809,101862,3357547,60483,10684,52,643950,489422,489422,4664000,,,,342616,,,,,,,507,20806,72,1493,,,,,191434,214312,191434,556928,5220928
Shikoku,200809,39733,1853556,42425,7388,,321345,183462,183462,2447909,,,2685,221216,,,,,,,734,23456,41,1765,,,,,151805,177801,154490,399017,2846926
Kyushu,200809,151257,5654363,218350,20069,1712,799901,629457,629457,7475109,,,10300,702678,,,,,,,1518,56972,57,2462,,,,,203413,264422,213713,967100,8442209
Okinawa,200809,4182,650931,,2032,,73732,23149,23149,754026,865,3988,,52148,,,,,,,71,75,4,255,,,3988,1472,7503,13368,8465,65516,819542
Hokkaido,200808,77347,2553005,89289,14645,,656794,172275,172275,3563355,,,1118,169730,,,,,,,1931,3939,18,1512,,,,,43034,50434,44152,220164,3783519
Tohoku,200808,148463,4832534,233832,24586,,1258338,224685,224685,6722438,,,2799,712500,,,,,,,769,42311,29,4868,,,,,158571,206548,161370,919048,7641486
Tokyo,200808,458359,20047952,1248929,66083,,3705011,657395,657395,26183729,,,,1793971,,,,,,,,75564,438,62861,,,,,396451,541338,396451,2335309,28519038
Chubu,200808,203415,6584889,513606,28977,443,1458118,411697,411697,9201145,,,5359,801262,,,,,,,1317,13384,1,4349,,,,,445989,465040,451348,1266302,10467447
Hokuriku,200808,40057,1105592,97160,6506,0,409378,162212,162212,1820905,,,3034,192231,,,,,,,392,3940,0,679,,,,,61546,66557,64580,258788,2079693
Kansai,200808,196347,9251467,322211,27978,,1773878,727880,727880,12299761,,,,886759,,,,,,,2543,19816,8,25526,,,,,225469,273362,225469,1160121,13459882
Chugoku,200808,101980,3361213,60539,10114,45,643544,484457,484457,4661892,,,,343313,,,,,,,416,13371,74,1493,,,,,192099,207453,192099,550766,5212658
Shikoku,200808,39796,1855687,42439,7060,,321255,180965,180965,2447202,,,2672,221506,,,,,,,723,28812,37,1768,,,,,152286,183626,154958,405132,2852334
Kyushu,200808,151260,5661625,218310,18770,1803,798411,622586,622586,7472765,0,0,10257,703647,,,,,,,1380,59254,55,2459,,,0,0,204275,267423,214532,971070,8443835
Okinawa,200808,4172,650299,,1955,,73702,22885,22885,753013,860,3982,,52224,,,,,,,71,75,4,252,,,3982,1467,7525,13376,8482,65600,818613
Hokkaido,200807,77297,2554107,89256,12011,,656550,170197,170197,3559418,,,1117,169933,,,,,,,521,3987,19,1521,,,,,51594,57642,52711,227575,3786993
Tohoku,200807,148296,4836988,233693,23259,,1257438,218731,218731,6718405,,,2781,713199,,,,,,,730,42497,28,4874,,,,,158973,207102,161754,920301,7638706
Tokyo,200807,458834,20048220,1248320,68017,,3703234,644470,644470,26171095,,,,1795750,,,,,,,,77892,480,62115,,,,,397410,543845,397410,2339595,28510690
Chubu,200807,203398,6587052,513182,27855,430,1456000,404359,404359,9192276,,,5337,802279,,,,,,,1304,14582,1,4347,,,,,447679,467913,453016,1270192,10462468
Hokuriku,200807,40082,1107935,97174,6040,0,409023,159500,159500,1819754,,,3040,192548,,,,,,,317,3876,0,678,,,,,61837,66708,64877,259256,2079010
Kansai,200807,196543,9248617,321505,24483,,1772291,717251,717251,12280690,,,,887601,,,,,,,2345,19323,8,25491,,,,,226136,273303,226136,1160904,13441594
Chugoku,200807,101823,3365523,60569,9606,40,643030,478090,478090,4658681,,,,343637,,,,,,,396,12565,70,1499,,,,,192735,207265,192735,550902,5209583
Shikoku,200807,39848,1857792,42430,6745,,320940,177835,177835,2445590,,,2667,221714,,,,,,,699,28149,39,1718,,,,,152685,183290,155352,405004,2850594
Kyushu,200807,151257,5667325,218179,17810,976,796907,613877,613877,7466331,,,10195,704169,,,,,,,1293,59665,57,2455,,,,,205254,268724,215449,972893,8439224
Okinawa,200807,4168,650173,,1903,,73714,22592,22592,752550,849,3976,,52339,,,,,,,64,77,4,239,,,3976,1465,7549,13374,8495,65713,818263
Hokkaido,200806,77471,2555257,89187,9633,,656787,168290,168290,3556625,,,1120,169906,,,,,,,575,4040,20,1537,,,,,70257,76429,71377,246335,3802960
Tohoku,200806,148171,4840774,233722,20336,,1256464,214727,214727,6714194,,,2770,714168,,,,,,,700,42634,28,4868,,,,,159434,207664,162204,921832,7636026
Tokyo,200806,459293,20046424,1248523,59905,,3701781,632339,632339,26148265,,,,1797505,,,,,,,,76746,510,62087,,,,,398676,543665,398676,2341170,28489435
Chubu,200806,203434,6590583,513020,27072,448,1454561,398238,398238,9187356,,,5295,803434,,,,,,,1313,14684,0,4344,,,,,449355,469696,454650,1273130,10460486
Hokuriku,200806,40116,1110019,97252,5575,0,408628,157194,157194,1818784,,,3039,192864,,,,,,,304,3908,0,680,,,,,62112,67004,65151,259868,2078652
Kansai,200806,196715,9257219,320901,25791,,1770865,708236,708236,12279727,,,,888685,,,,,,,2404,18957,8,25482,,,,,227108,273959,227108,1162644,13442371
Chugoku,200806,101785,3370686,60620,9431,39,642470,472190,472190,4657221,,,,344024,,,,,,,399,12010,74,1497,,,,,193535,207515,193535,551539,5208760
Shikoku,200806,39975,1859939,42397,6548,,320922,175068,175068,2444849,,,2650,222000,,,,,,,704,27536,42,1716,,,,,153166,183164,155816,405164,2850013
Kyushu,200806,151227,5673205,218193,17472,210,795394,606093,606093,7461794,0,0,10167,704538,,,,,,,1280,51469,71,2453,,,0,0,206132,261405,216299,965943,8427737
Okinawa,200806,4145,650064,,1821,,73676,22344,22344,752050,841,3966,,52409,,,,,,,63,77,4,235,,,3966,1468,7594,13407,8532,65816,817866
Hokkaido,200805,77606,2555047,89288,7730,,657194,167466,167466,3554331,,,1123,170093,,,,,,,778,3575,20,1552,,,,,85296,91221,86419,261314,3815645
Tohoku,200805,147922,4845494,233667,17961,,1255328,210649,210649,6711021,,,2760,715495,,,,,,,895,42190,28,4872,,,,,159999,207984,162759,923479,7634500
Tokyo,200805,459769,20040889,1248576,56328,,3700484,619830,619830,26125876,,,,1799858,,,,,,,5460,68837,548,61740,,,,,399908,536493,399908,2336351,28462227
Chubu,200805,203421,6594482,513039,25691,512,1453604,392078,392078,9182827,,,5254,804632,,,,,,,1340,15415,0,4340,,,,,451148,472243,456402,1276875,10459702
Hokuriku,200805,40101,1112119,97355,5033,,408288,155066,155066,1817962,,,3032,193216,,,,,,,291,4621,0,680,,,,,62440,68032,65472,261248,2079210
Kansai,200805,197462,9265583,320436,25245,,1769668,699280,699280,12277674,,,,889682,,,,,,,2654,15596,8,25456,,,,,228034,271748,228034,1161430,13439104
Chugoku,200805,101771,3374945,60647,8994,49,641724,465745,465745,4653875,,,,344463,,,,,,,401,8729,75,1493,,,,,194359,205057,194359,549520,5203395
