Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Hokuriku,200103,,,1008206,,,,240598,240598,,768810,1544664,9932,1643073,142003,1110057,151935,2753130,264215,931369,13995,48959,3470,22094,,,1544664,,446954,535472,1631914,5764635,
Kansai,200103,,,3234267,,,,557893,557893,,2259592,9365750,,8210640,160455,4973146,160455,13183786,447938,2757831,109045,52251,10957,78239,,,9365750,,1241090,1491582,4109075,26798949,
Chugoku,200103,,,956917,,,,846971,846971,,1136716,3379359,,3102909,123005,1986108,123005,5089017,405549,1438948,26597,37895,4584,40219,,,3379359,,890338,999633,2555608,10906957,
Shikoku,200103,,,670289,,,,201001,201001,,580369,1940576,5493,2007286,126474,1046304,131967,3053590,245441,697103,31145,63634,155,18115,,,1940576,,741748,854797,1699525,6546066,
Kyushu,200103,,,2465742,,,,879589,879589,,2223995,5743394,31340,5628997,392607,2541160,423947,8170157,453630,1372946,52553,149295,22442,42059,,,5743394,,1302172,1568521,4403744,16855018,
Okinawa,200103,,,,,,,,,,27695,714962,,465457,6934,131731,6934,597188,53284,151318,3825,6025,976,3006,,,714962,,37831,51663,125744,1515131,
Hokkaido,200102,,,1034082,,,,441348,441348,,986087,2095992,17918,1647314,78562,1125779,96480,2773093,187549,564377,21939,586,3624,43418,,,2095992,,941706,1011273,2211822,6444735,
Tohoku,200102,,,2628411,,,,302554,302554,,1080249,4800006,494,4836570,208544,3222296,209038,8058866,546879,2039461,50659,53829,1265,49757,,,4800006,,1246182,1401692,3082348,16300025,
Tokyo,200102,,,13948518,,,,663603,663603,,3344916,20296655,,15294894,230858,7874338,230858,23169232,967298,6542524,282178,77173,21261,199447,,,20296655,,1989859,2569918,6532931,52578329,
Chubu,200102,,,5093036,,,,483736,483736,,2392692,6852542,3316,7606379,130882,5515886,134198,13122265,749668,4256926,84039,106034,249,59723,,,6852542,,2519187,2769232,5795745,27000965,
Hokuriku,200102,,,1004736,,,,237958,237958,,769137,1545303,8650,1643599,141614,1114137,150264,2757736,260247,931888,16535,24870,3412,22090,,,1545303,,515195,582102,1694843,5817029,
Kansai,200102,,,3228083,,,,550935,550935,,2095510,9370770,,8216125,156639,4985207,156639,13201332,444576,2766384,126591,48896,11189,78360,,,9370770,,1250509,1515545,3947234,26854031,
Chugoku,200102,,,955590,,,,836909,836909,,1100391,3380169,,3104689,119415,1986682,119415,5091371,404547,1441821,28691,33016,4512,40257,,,3380169,,892184,998660,2516537,10912021,
Shikoku,200102,,,670243,,,,195820,195820,,553554,1935825,4787,2008890,122628,1046598,127415,3055488,244406,696666,33717,59321,326,18118,,,1935825,,740570,852052,1665945,6540031,
Kyushu,200102,,,2460688,,,,866850,866850,,1957653,5740907,20302,5630920,339623,2544944,359925,8175864,434705,1368117,62889,139280,19708,42095,,,5740907,,1295995,1559967,4048278,16844855,
Okinawa,200102,,,,,,,,,,27234,714610,,466128,4924,131883,4924,598011,53312,151599,3467,6025,902,3011,,,714610,,37212,50617,122682,1514837,
Hokkaido,200101,,,1032481,,,,438645,438645,,977586,2106374,18050,1647635,78038,1124658,96088,2772293,185659,564673,28590,1124,3645,43462,,,2106374,,938822,1015643,2198155,6458983,
Tohoku,200101,,,2624813,,,,297879,297879,,991893,4777573,473,4842117,193461,3216722,193934,8058839,530292,2032664,53264,52278,1236,49382,,,4777573,,1244825,1400985,2960944,16270061,
Tokyo,200101,,,13926245,,,,657882,657882,,3090587,20194099,,15308148,223715,7859885,223715,23168033,965430,6538111,288997,75923,24149,199348,,,20194099,,1992163,2580580,6271895,52480823,
Chubu,200101,,,5081998,,,,472194,472194,,2371763,6826272,1911,7614515,130143,5496796,132054,13111311,741910,4231736,85323,100999,256,58901,,,6826272,,2523623,2769102,5769350,26938421,
Hokuriku,200101,,,1001897,,,,234263,234263,,767939,1548197,8184,1645788,136980,1117063,145164,2762851,255001,931440,16959,18606,3412,22009,,,1548197,,521110,582096,1689214,5824584,
Kansai,200101,,,3226385,,,,539176,539176,,1932849,9354608,,8229077,150565,4985504,150565,13214581,436373,2761264,133490,48341,11326,78049,,,9354608,,1256327,1527533,3776114,26857986,
Chugoku,200101,,,955882,,,,827771,827771,,1053376,3363417,,3109579,116704,1985150,116704,5094729,401025,1452429,32383,30706,4512,40245,,,3363417,,893806,1001652,2464911,10912227,
Shikoku,200101,,,671020,,,,190641,190641,,507559,1934220,4309,2012109,116983,1044857,121292,3056966,238325,699769,34732,59046,353,18107,,,1934220,,739970,852208,1607146,6543163,
Kyushu,200101,,,2457080,,,,854410,854410,,1783706,5715459,0,5636214,314770,2540253,314770,8176467,426896,1363321,64661,137970,23025,42095,,,5715459,,1294334,1562085,3819706,16817332,
Okinawa,200101,,,,,,,,,,25882,713858,,467783,4924,130506,4924,598289,52712,151430,3994,5622,875,3011,,,713858,,36613,50115,120131,1513692,
Hokkaido,200012,,,1028727,,,,434125,434125,,951998,2109906,18023,1646320,78918,1125120,96941,2771440,186558,564362,43842,3203,3645,42734,,,2109906,,840913,934337,2076410,6380045,
Tohoku,200012,,,2618224,,,,291874,291874,,895927,4739970,427,4846071,180047,3210934,180474,8057005,512226,2032726,77983,52590,1509,49002,,,4739970,,1211947,1393031,2800574,16222732,
Tokyo,200012,,,13902883,,,,649247,649247,,2842655,20098340,,15321565,216904,7833890,216904,23155455,954599,6538768,293728,74666,25294,200489,,,20098340,,1994446,2588623,6008604,52381186,
Chubu,200012,,,5065031,,,,459519,459519,,2341285,6804633,1047,7618494,128209,5487146,129256,13105640,739057,4205922,94944,100997,269,58717,,,6804633,,2525350,2780277,5734948,26896472,
Hokuriku,200012,,,997220,,,,231240,231240,,764026,1540600,6435,1647316,135285,1116123,141720,2763439,251379,929351,18236,19346,3430,20184,,,1540600,,494851,556047,1651976,5789437,
Kansai,200012,,,3218554,,,,524861,524861,,1684342,9288154,,8228776,146171,4979342,146171,13208118,434678,2760973,139811,50055,11226,78019,,,9288154,,1259525,1538636,3524716,26795915,
Chugoku,200012,,,954860,,,,815787,815787,,935610,3351088,,3111114,111475,1980438,111475,5091552,401384,1455320,48055,31191,4735,39723,,,3351088,,894486,1018190,2342955,10916150,
Shikoku,200012,,,670614,,,,184567,184567,,472076,1924258,3502,2012667,113778,1041872,117280,3054539,233320,702053,33050,60237,346,18050,,,1924258,,738383,850066,1561059,6530916,
Kyushu,200012,,,2451713,,,,840346,840346,,1604362,5707488,0,5637377,286543,2541519,286543,8178896,415837,1362634,74777,178432,21296,41955,,,5707488,,1291131,1607591,3597873,16856609,
Okinawa,200012,,,,,,,,,,24548,715284,,469229,4165,131135,4165,600364,50738,155966,3328,5622,824,3049,,,715284,,35553,48376,115004,1519990,
Hokkaido,200011,,,1024769,,,,426437,426437,,902966,2104690,17960,1645534,79045,1122495,97005,2768029,186522,565893,89002,9436,3102,38083,,,2104690,,453883,593506,1640376,6032118,
Tohoku,200011,,,2610382,,,,283683,283683,,781658,4715363,211,4848343,163670,3205350,163881,8053693,499697,2032440,106666,62576,1332,48280,,,4715363,,991303,1210157,2436539,16011653,
Tokyo,200011,,,13873814,,,,638823,638823,,2546312,20060127,,15326884,213805,7817839,213805,23144723,948051,6532010,301720,76425,27693,200190,,,20060127,,1996925,2602953,5705093,52339813,
Chubu,200011,,,5049583,,,,447077,447077,,2290741,6783813,535,7619746,125075,5476344,125610,13096090,737650,4204681,102800,109379,231,58427,,,6783813,,2526991,2797828,5680992,26882412,
Hokuriku,200011,,,992153,,,,226153,226153,,760071,1537328,4663,1647287,128795,1114919,133458,2762206,246278,928302,20468,24888,3430,20079,,,1537328,,427461,496326,1567268,5724162,
Kansai,200011,,,3210296,,,,507599,507599,,1357796,9259412,,8228943,144099,4977875,144099,13206818,425245,2759224,163339,56389,11094,78134,,,9259412,,1264057,1573013,3191197,26798467,
Chugoku,200011,,,953621,,,,803118,803118,,756947,3341417,,3113105,103451,1981372,103451,5094477,390991,1453682,58396,43646,4741,39747,,,3341417,,895742,1042272,2147131,10931848,
Shikoku,200011,,,670032,,,,177235,177235,,397712,1919868,2557,2013324,97692,1043138,100249,3056462,222909,701592,32744,64340,376,18003,,,1919868,,737615,853078,1458485,6531000,
Kyushu,200011,,,2444934,,,,824177,824177,,1415488,5696427,0,5636332,260442,2537731,260442,8174063,388640,1363053,94851,192404,22363,41637,,,5696427,,1288888,1640143,3353458,16873686,
Okinawa,200011,,,,,,,,,,23345,716129,,469194,4084,130984,4084,600178,49958,156604,3405,5628,657,3062,,,716129,,34978,47730,112365,1520641,
Hokkaido,200010,,,1020147,,,,418646,418646,,833607,2100716,17918,1645757,77789,1123168,95707,2768925,180466,565882,118003,16687,3645,36590,,,2100716,,232225,407150,1342005,5842673,
Tohoku,200010,,,2604048,,,,276271,276271,,566171,4715382,33,4852390,149886,3194391,149919,8046781,474656,2029720,132081,91511,1701,48066,,,4715382,,877560,1150919,2068306,15942802,
Tokyo,200010,,,13852218,,,,629677,629677,,2333820,20025188,,15338689,206506,7810457,206506,23149146,936614,6536744,301007,106301,27179,198016,,,20025188,,1999116,2631619,5476056,52342697,
Chubu,200010,,,5034975,,,,437516,437516,,2239806,6785097,36,7623226,118278,5467550,118314,13090776,733752,4214709,108490,148600,197,58476,,,6785097,,2529887,2845650,5621759,26936232,
Hokuriku,200010,,,988681,,,,222086,222086,,752574,1532687,1172,1648778,105446,1113562,106618,2762340,223131,927370,25762,46423,3430,20047,,,1532687,,362229,457891,1444552,5680288,
Kansai,200010,,,3202120,,,,491398,491398,,1045543,9276185,,8232840,138983,4977004,138983,13209844,415195,2756428,155711,72390,10589,77955,,,9276185,,1269442,1586087,2869163,26828544,
Chugoku,200010,,,952349,,,,791682,791682,,605297,3337013,,3116786,99590,1979213,99590,5095999,376071,1456187,58096,92959,4702,39787,,,3337013,,896177,1091721,1977135,10980920,
Shikoku,200010,,,669556,,,,170661,170661,,339408,1913317,126,2015187,77005,1040557,77131,3055744,221047,703585,32024,78074,376,18003,,,1913317,,736566,865043,1374152,6537689,
Kyushu,200010,,,2439746,,,,812726,812726,,1250695,5699187,0,5636907,237147,2537600,237147,8174507,372295,1364714,84268,266413,20547,41426,,,5699187,,1286167,1698821,3146304,16937229,
Okinawa,200010,,,,,,,,,,13592,715008,,469267,3450,130890,3450,600157,49958,156074,3335,5750,581,3100,,,715008,,34410,47176,101410,1518415,
Hokkaido,200009,,,1017629,,,,412338,412338,,718199,2134098,17870,1643655,76261,1122839,94131,2766494,176544,564982,111368,82485,3645,38073,,,2134098,,199609,435180,1188483,5900754,
Tohoku,200009,,,2596823,,,,269879,269879,,467762,4713438,,4852539,145423,3191733,145423,8044272,463508,2032424,120503,279912,1877,48522,,,4713438,,875268,1326082,1951961,16116216,
Tokyo,200009,,,13826097,,,,625489,625489,,2217897,20056430,,15347300,202228,7822862,202228,23170162,923197,6547506,290365,300868,29892,194508,,,20056430,,2000043,2815676,5343365,52589774,
Chubu,200009,,,5021894,,,,426948,426948,,2191941,6774419,,7628569,115918,5472296,115918,13100865,726114,4215391,106236,209947,210,58657,,,6774419,,2532758,2907808,5566731,26998483,
Hokuriku,200009,,,985036,,,,217480,217480,,746522,1531885,0,1649442,74062,1117033,74062,2766475,159634,928214,47377,63818,3430,20166,,,1531885,,358968,493759,1339186,5720333,
Kansai,200009,,,3194764,,,,481717,481717,,723418,9360380,,8237450,136367,4989706,136367,13227156,403790,2768727,149677,159571,10588,77415,,,9360380,,1272728,1669979,2536303,27026242,
Chugoku,200009,,,951351,,,,783265,783265,,594062,3339389,,3119330,99075,1985062,99075,5104392,346413,1466411,46760,122751,4802,38809,,,3339389,,896752,1109874,1936302,11020066,
Shikoku,200009,,,668768,,,,166140,166140,,300747,1911418,0,2016293,72986,1041578,72986,3057871,216958,704851,31331,128334,376,18003,,,1911418,,735377,913421,1326068,6587561,
Kyushu,200009,,,2432889,,,,803765,803765,,1098623,5700431,0,5637613,221406,2544092,221406,8181705,356878,1362370,63074,373817,20350,41361,,,5700431,,1284755,1783357,2961662,17027863,
Okinawa,200009,,,,,,,,,,12929,717610,,468648,3457,129982,3457,598630,49958,156684,6761,5617,537,3109,,,717610,,33964,49988,100308,1522912,
Hokkaido,200008,,,1014059,,,,408348,408348,,475433,2144534,17814,1642421,69840,1123465,87654,2765886,174274,559446,107052,85603,3671,34624,,,2144534,,203405,434355,940766,5904221,
Tohoku,200008,,,2590986,,,,264178,264178,,457912,4718593,,4850960,141521,3190990,141521,8041950,455191,2027773,45591,543591,1761,52679,,,4718593,,875731,1519353,1930355,16307669,
Tokyo,200008,,,13801082,,,,618025,618025,,2076715,20084433,,15351148,199709,7842240,199709,23193388,913403,6532637,280483,606648,30159,193272,,,20084433,,2000532,3111094,5190359,52921552,
Chubu,200008,,,5007099,,,,417012,417012,,2071929,6765353,,7628084,108928,5465327,108928,13093411,711228,4198329,85380,266128,224,58703,,,6765353,,2537759,2948194,5429844,27005287,
Hokuriku,200008,,,981034,,,,214078,214078,,732092,1527885,0,1649446,74105,1118201,74105,2767647,156254,928746,50318,81535,3499,20171,,,1527885,,358929,514452,1321380,5738730,
Kansai,200008,,,3187807,,,,472406,472406,,713501,9358865,,8239829,134868,4988807,134868,13228636,402766,2762099,128383,203561,10353,77208,,,9358865,,1274711,1694216,2525846,27043816,
Chugoku,200008,,,950816,,,,774654,774654,,584806,3321977,,3120996,98187,1982686,98187,5103682,335357,1457481,26214,101343,4849,38778,,,3321977,,897742,1068926,1916092,10952066,
Shikoku,200008,,,668576,,,,163644,163644,,299023,1913778,0,2016777,72144,1042541,72144,3059318,211959,702085,30093,151193,402,17997,,,1913778,,733812,933497,1316938,6608678,
Kyushu,200008,,,2427193,,,,793072,793072,,1037897,5663582,0,5635710,209444,2540674,209444,8176384,347448,1348604,57430,396764,9610,41557,,,5663582,,1284774,1790135,2879563,16978705,
Okinawa,200008,,,,,,,,,,12909,714935,,468299,3288,129892,3288,598191,48968,156624,12142,5367,498,3099,,,714935,,33474,54580,98639,1524330,
Hokkaido,200007,,,1009810,,,,401917,401917,,155482,2051005,17881,1637824,53469,1117501,71350,2755325,168634,556438,43353,85408,3671,38002,,,2051005,,217069,387503,612535,5750271,
Tohoku,200007,,,2579956,,,,257470,257470,,457208,4701454,,4846147,141865,3182321,141865,8028468,449807,2003678,39034,549090,3464,49125,,,4701454,,876375,1517088,1925255,16250688,
Tokyo,200007,,,13777473,,,,610942,610942,,1935853,19912805,,15344981,197576,7808739,197576,23153720,896932,6501506,271741,613941,30761,193070,,,19912805,,2002914,3112427,5033275,52680458,
Chubu,200007,,,4988692,,,,408174,408174,,1943403,6648724,,7624978,105695,5423523,105695,13048501,701007,4167407,73029,274067,218,58552,,,6648724,,2540705,2946571,5290810,26811203,
Hokuriku,200007,,,976089,,,,210229,210229,,713822,1529535,0,1647436,75630,1118901,75630,2766337,154731,921611,19249,81157,3499,20106,,,1529535,,359672,483683,1303855,5701166,
Kansai,200007,,,3179657,,,,462399,462399,,698122,9249529,,8237347,129473,4960305,129473,13197652,398562,2743291,124284,192242,11301,77320,,,9249529,,1277486,1682633,2503643,26873105,
Chugoku,200007,,,949583,,,,766015,766015,,571988,3267414,,3120369,95224,1969469,95224,5089838,333241,1438906,27011,97568,4866,38651,,,3267414,,897460,1065556,1897913,10861714,
Shikoku,200007,,,667592,,,,159967,159967,,292394,1901936,0,2015087,71330,1040250,71330,3055337,211311,698247,29391,146075,397,17965,,,1901936,,731796,925624,1306831,6581144,
Kyushu,200007,,,2418442,,,,782562,782562,,991496,5537062,0,5628458,198374,2519114,198374,8147572,340478,1332932,65528,434795,9446,41543,,,5537062,,1284587,1835899,2814935,16853465,
Okinawa,200007,,,,,,,,,,12333,712422,,467218,3196,130258,3196,597476,48949,155661,9635,5360,474,3067,,,712422,,32836,51372,97314,1516931,
Hokkaido,200006,,,1007516,,,,398577,398577,,150821,2073769,17838,1638001,51372,1129172,69210,2767173,122860,552220,20131,83090,3650,40721,,,2073769,,337155,484747,680046,5877909,
Tohoku,200006,,,2574863,,,,252789,252789,,448155,4748627,,4846011,142098,3215799,142098,8061810,438037,1982774,38005,548626,3464,55041,,,4748627,,877233,1522369,1905523,16315580,
Tokyo,200006,,,13756503,,,,606095,606095,,1651781,19981118,,15342421,194395,7871773,194395,23214194,874155,6472686,260652,609114,31919,193836,,,19981118,,2004076,3099597,4724407,52767595,
Chubu,200006,,,4975284,,,,400415,400415,,1705834,6672287,,7625653,97753,5461330,97753,13086983,694165,4150243,69893,271690,2487,58909,,,6672287,,2544208,2947187,5041960,26856700,
Hokuriku,200006,,,972774,,,,207092,207092,,675067,1506670,0,1647314,74586,1109505,74586,2756819,149828,915435,20637,80085,958,20109,,,1506670,,360125,481914,1259606,5660838,
Kansai,200006,,,3171893,,,,450972,450972,,682489,9225102,,8236430,126516,4979316,126516,13215746,396373,2743734,118099,184954,13003,77083,,,9225102,,1280953,1674092,2486331,26858674,
Chugoku,200006,,,948675,,,,758384,758384,,563353,3271847,,3120375,95168,1991708,95168,5112083,334095,1434413,25448,92284,5101,38553,,,3271847,,897759,1059145,1890375,10877488,
Shikoku,200006,,,666748,,,,157174,157174,,279933,1850140,0,2014480,69740,1034241,69740,3048721,205274,691577,28618,135836,462,17964,,,1850140,,729596,912476,1284543,6502914,
Kyushu,200006,,,2413810,,,,772795,772795,,960516,5538632,0,5622866,193667,2518144,193667,8141010,334458,1321503,71668,355798,9962,41470,,,5538632,,1284164,1763062,2772805,16764207,
Okinawa,200006,,,,,,,,,,12183,705741,,464975,3125,129085,3125,594060,49019,155736,8338,5253,455,3039,,,705741,,32421,49506,96748,1505043,
Hokkaido,200005,,,1007655,,,,396582,396582,,149425,2069573,17980,1640848,50799,1129093,68779,2769941,122430,554230,15374,41713,3575,43361,,,2069573,,502669,606692,843303,6000436,
Tohoku,200005,,,2571902,,,,249806,249806,,437986,4737925,,4848247,140210,3210378,140210,8058625,426016,1975753,37163,536899,3747,55370,,,4737925,,878720,1511899,1882932,16284202,
