Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Tokyo,1975H2,38.47,37.06,40611378,,,,,3420135,3379774,40563,528863,3242804,2857114,38721,814270,642915,812508,155909,,,,1944641,1894288,,154437,,,,9370999,0.231,38.47
Chubu,1975H2,38.5,36.85,21080056,,,,,2078648,2043550,40563,268873,2576612,2591451,38595,563857,423523,390839,150406,,,,,,,,,,,4858824,0.23,38.5
Hokuriku,1975H2,38.41,36.39,3392172,,,,,401784,398944,41149,116736,413898,380498,38637,169488,24588,17729,10901,,,,,,,,,,,775523,0.229,38.41
Kansai,1975H2,37.87,36.13,20250969,,,,,1328523,1275743,40354,439301,3009154,2842934,38847,902934,726098,824571,124033,,,,28962,28962,,,,,,4770567,0.236,37.87
Chugoku,1975H2,38.12,36.36,8591022,79722,83839,23651,35643,1707786,1741515,40730,362568,321483,214785,38260,47352,,,14970,,,,,,,,,,,1992133,0.232,38.12
Shikoku,1975H2,38.84,37.23,5708146,,,,,1110944,1015875,41015,274809,149698,118412,39043,120634,,,,,,,,,,,,,,1290002,0.226,38.84
Kyushu,1975H2,38.1,36.51,8581555,202473,198182,18628,173368,1578665,1496884,40647,426090,437338,431448,38554,87303,,,,,,,,,,,,,,1995222,0.233,38.1
Okinawa,1975H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1975H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1974H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1974H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1973H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1973H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1972H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1972H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1971H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1971H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1970H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1970H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1969H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1969H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1968H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1968H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1967H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1967H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1966H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1966H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1965H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1965H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1964H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1964H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1963H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1963H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1962H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
