Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Chubu,199901,0,4586,4586,151070,84545,127210,0,0,16213,11312,53210,150900,231635,14305,59838,20160,168899,189059,1408,435646,437054,34029,122260,156289,326338,836281,199673,1362292,340243,3153540,3158126,256343,216945,473288,3631414
Hokuriku,199901,,18874,18874,13538,85943,23975,11148,,20807,,16538,55122,103615,4281,1514,5337,20309,25646,,67522,67522,,53024,53024,87118,23527,35515,146160,106776,631994,650868,27045,42629,69674,720542
Kansai,199901,,8573,8573,174309,64890,76872,,,79957,55760,28313,222029,386059,13851,31194,11383,194050,205433,25991,551289,577280,,131451,131451,358379,134961,132330,625670,352208,2639217,2647790,413021,406366,819387,3467177
Chugoku,199901,,15400,15400,51089,17715,39318,226,,36500,70323,10730,49649,167428,4051,26175,16758,42736,59494,115479,283732,399211,,104098,104098,139645,139516,43020,322181,87417,1278177,1293577,106372,107187,213559,1507136
Shikoku,199901,,4092,4092,23851,15183,89490,,3326,37369,4808,19641,47048,112192,25248,3716,14881,1500,16381,,63484,63484,,,,62238,8143,19964,90345,37003,476893,480985,8902,34038,42940,523925
Kyushu,199901,6924,12173,19097,97992,19561,41068,195,23938,33756,16536,19067,56023,149515,8437,35389,89757,24480,114237,40813,155566,196379,,52467,52467,347779,73811,29304,450894,110510,1276449,1295546,84857,145808,230665,1526211
Okinawa,199901,,718,718,6176,,631,,,533,,,658,1191,3497,,6156,,6156,,10191,10191,,542,542,,,,,631,29015,29733,,33391,33391,63124
Hokkaido,199812,12204,3759,15963,64909,0,57843,0,0,14914,317,0,12381,27612,2225,332,19525,3739,23264,8172,34613,42785,0,0,0,29103,12846,217,42166,35979,297115,313078,31614,62632,94246,407324
Tohoku,199812,,12840,12840,100931,17260,66650,2961,38315,27758,,,83784,152818,3740,20702,41310,36622,77932,,243941,243941,,190787,190787,386539,83567,77339,547445,159532,1581738,1594578,138727,141278,280005,1874583
Tokyo,199812,,21946,21946,410452,12446,268342,39153,,109670,230215,17152,358599,754789,33842,88538,89604,186248,275852,118557,476547,595104,6357,409411,415768,747347,550387,298306,1596040,785952,5237125,5259071,515216,910362,1425578,6684649
Chubu,199812,0,5503,5503,167895,93183,136103,0,0,16612,12813,59227,154678,243330,15093,61865,30263,178506,208769,10988,459758,470746,22527,121015,143542,324613,844563,201078,1370254,359029,3269809,3275312,227482,220576,448058,3723370
Hokuriku,199812,,14286,14286,15209,92589,28233,10089,,21572,,20861,53526,106048,4177,1571,13260,22607,35867,,73499,73499,,50083,50083,88364,23135,35855,147354,105825,660455,674741,24547,41599,66146,740887
Kansai,199812,,10034,10034,193295,68916,82732,,,80323,57189,28929,229241,395682,15990,33806,16427,194981,211408,27793,579391,607184,,131623,131623,370347,135296,134598,640241,370365,2751242,2761276,399240,425414,824654,3585930
Chugoku,199812,,16873,16873,57163,18972,42320,349,,30809,70049,10885,50391,162483,2580,26239,8017,45400,53417,107836,311785,419621,,104319,104319,143255,135784,43205,322244,88972,1298330,1315203,105200,109299,214499,1529702
Shikoku,199812,,4406,4406,26712,16864,97076,,2002,38610,5121,17505,47389,110627,25301,3926,21969,1691,23660,,69039,69039,,,,63429,8406,20262,92097,38521,503823,508229,8593,34309,42902,551131
Kyushu,199812,6382,13158,19540,110940,21061,44321,202,30805,32452,13653,18660,71109,166881,7975,37811,95298,24913,120211,49787,165952,215739,,45359,45359,348455,75048,29339,452842,116595,1339735,1359275,81515,146365,227880,1587155
Okinawa,199812,,610,610,5877,,586,,,555,,,653,1208,3607,,7233,,7233,,11598,11598,,683,683,,,,,924,31716,32326,,34437,34437,66763
Hokkaido,199811,12760,3639,16399,67859,0,82441,0,0,13878,259,0,12437,26574,2896,337,21761,4569,26330,8996,45088,54084,0,0,0,28624,13496,237,42357,36224,339102,355501,29188,56751,85939,441440
Tohoku,199811,,11866,11866,98184,16951,76364,2110,26772,23642,,,85040,137564,3680,21517,26461,36803,63264,,255146,255146,,192577,192577,385992,83651,74210,543853,159281,1568381,1580247,122076,132463,254539,1834786
Tokyo,199811,,19828,19828,414622,12795,275574,36445,,110982,234338,18678,358631,759074,23941,88789,84451,181269,265720,145616,497772,643388,6476,412835,419311,755007,559668,290255,1604930,783852,5291996,5311824,472141,874764,1346905,6658729
Chubu,199811,0,5225,5225,168385,95050,142168,0,0,18420,22864,63818,166802,271904,15298,65387,25867,173549,199416,9768,478134,487902,15212,131542,146754,331500,894418,203681,1429599,368749,3390612,3395837,224111,210492,434603,3830440
Hokuriku,199811,,9860,9860,14947,91398,28819,8995,,19675,,22111,53682,104463,4197,1543,11435,22633,34068,,74707,74707,,52573,52573,89689,23392,33408,146489,105362,658566,668426,23199,39856,63055,731481
Kansai,199811,,9804,9804,194349,68624,84010,,,77441,55492,29959,238344,401236,25084,35446,15733,200336,216069,27045,595417,622462,,146009,146009,380180,136202,131095,647477,375797,2816563,2826367,374365,412954,787319,3613686
Chugoku,199811,,16208,16208,56830,19193,46280,276,,28747,77170,12043,50867,169103,3310,27311,9873,48418,58291,121852,316041,437893,,97078,97078,143211,135389,41178,319778,89691,1324758,1340966,101875,98640,200515,1541481
Shikoku,199811,,4441,4441,26562,16686,92093,,2075,35457,4858,18471,50674,111535,25493,3783,18738,1631,20369,,66207,66207,,,,63700,8444,20653,92797,38781,494306,498747,7901,34170,42071,540818
Kyushu,199811,7259,12747,20006,110483,21459,44115,201,31151,30787,16089,19456,59773,157457,8105,39232,89590,24391,113981,68965,160714,229679,,41816,41816,357443,77948,30017,465408,117073,1348808,1368814,77120,140153,217273,1586087
Okinawa,199811,,617,617,6903,,592,,,656,,,818,1474,3480,,6407,,6407,,10725,10725,,664,664,,,,,1013,31258,31875,,36126,36126,68001
Hokkaido,199810,13026,3990,17016,77253,0,102438,0,0,11532,285,0,13479,25296,2772,356,19758,5181,24939,9077,45247,54324,0,0,0,31010,13663,268,44941,37383,369702,386718,26781,57542,84323,471041
Tohoku,199810,,11731,11731,108167,18474,72345,3436,7822,26543,,,90676,128477,4305,22769,36574,39339,75913,,241532,241532,,194560,194560,412142,85797,79581,577520,170798,1614860,1626591,118780,136994,255774,1882365
Tokyo,199810,,18849,18849,455821,13813,286079,38130,,110833,269044,17900,386853,822760,40149,91881,81158,188036,269194,125801,521724,647525,6761,427721,434482,831438,589120,317941,1738499,818087,5618290,5637139,509707,950190,1459897,7097036
